season,zone,local_hour,captured_at,healthy_cycle,healthy_age_hours,if_404_cycle,if_404_age_hours
daylight,America/Chicago,12,2026-09-17T12:00:00-05:00,2026-09-17T07:00:00+00:00,10.0,2026-09-17T01:00:00+00:00,16.0
daylight,America/Chicago,13,2026-09-17T13:00:00-05:00,2026-09-17T07:00:00+00:00,11.0,2026-09-17T01:00:00+00:00,17.0
daylight,America/Chicago,14,2026-09-17T14:00:00-05:00,2026-09-17T07:00:00+00:00,12.0,2026-09-17T01:00:00+00:00,18.0
daylight,America/Chicago,15,2026-09-17T15:00:00-05:00,2026-09-17T07:00:00+00:00,13.0,2026-09-17T01:00:00+00:00,19.0
daylight,America/Chicago,16,2026-09-17T16:00:00-05:00,2026-09-17T07:00:00+00:00,14.0,2026-09-17T01:00:00+00:00,20.0
daylight,America/Chicago,17,2026-09-17T17:00:00-05:00,2026-09-17T07:00:00+00:00,15.0,2026-09-17T01:00:00+00:00,21.0
daylight,America/Chicago,18,2026-09-17T18:00:00-05:00,2026-09-17T07:00:00+00:00,16.0,2026-09-17T01:00:00+00:00,22.0
daylight,America/Chicago,19,2026-09-17T19:00:00-05:00,2026-09-17T07:00:00+00:00,17.0,2026-09-17T01:00:00+00:00,23.0
daylight,America/Chicago,20,2026-09-17T20:00:00-05:00,2026-09-17T07:00:00+00:00,18.0,2026-09-17T01:00:00+00:00,24.0
daylight,America/Chicago,21,2026-09-17T21:00:00-05:00,2026-09-17T07:00:00+00:00,19.0,unavailable,
daylight,America/Chicago,22,2026-09-17T22:00:00-05:00,2026-09-17T07:00:00+00:00,20.0,unavailable,
daylight,America/Chicago,23,2026-09-17T23:00:00-05:00,2026-09-17T07:00:00+00:00,21.0,unavailable,
daylight,America/Denver,0,2026-09-17T00:00:00-06:00,2026-09-17T01:00:00+00:00,5.0,2026-09-17T00:00:00+00:00,6.0
daylight,America/Denver,1,2026-09-17T01:00:00-06:00,2026-09-17T07:00:00+00:00,0.0,2026-09-17T01:00:00+00:00,6.0
daylight,America/Denver,2,2026-09-17T02:00:00-06:00,2026-09-17T07:00:00+00:00,1.0,2026-09-17T01:00:00+00:00,7.0
daylight,America/Denver,3,2026-09-17T03:00:00-06:00,2026-09-17T07:00:00+00:00,2.0,2026-09-17T01:00:00+00:00,8.0
daylight,America/Denver,4,2026-09-17T04:00:00-06:00,2026-09-17T07:00:00+00:00,3.0,2026-09-17T01:00:00+00:00,9.0
daylight,America/Denver,5,2026-09-17T05:00:00-06:00,2026-09-17T07:00:00+00:00,4.0,2026-09-17T01:00:00+00:00,10.0
daylight,America/Denver,6,2026-09-17T06:00:00-06:00,2026-09-17T07:00:00+00:00,5.0,2026-09-17T01:00:00+00:00,11.0
daylight,America/Denver,7,2026-09-17T07:00:00-06:00,2026-09-17T07:00:00+00:00,6.0,2026-09-17T01:00:00+00:00,12.0
daylight,America/Denver,8,2026-09-17T08:00:00-06:00,2026-09-17T07:00:00+00:00,7.0,2026-09-17T01:00:00+00:00,13.0
