hypothesis,axis,cell,band_rows,snapshots,date_clusters,market_clusters,market_days,population_share,model_brier,market_brier,edge,ci_low,ci_high,standard_error,raw_p,raw_power_abs_effect,family_power_abs_effect,raw_80pct_mde,family_80pct_mde,lodo_positive_share,lomo_positive_share,valid_book_share,reward_window_share,holm_adjusted_p,support_ok,stability_ok,statistical_ok,skill_candidate,min_size_evidence,quotable_candidate,economic_all_scenarios_cleared_share,economic_zero_reward_scenarios_cleared_share
forecast_distance:1.5_to_2.5,forecast_distance,1.5_to_2.5,6280,6280,48,12,518,0.04645692008374082,0.12629393314690693,0.08354527671178344,-0.042748656435123475,-0.07560607796071919,-0.018428110386199244,0.0146208321314386,0.998271167388788,0.8995452504576233,0.3406734776134823,0.03635433153476926,0.06105754984702768,0.0,0.0,0.8031847133757962,0.6823248407643312,1.0,True,False,False,False,ABSENT,False,,
forecast_distance:gt_2.5,forecast_distance,gt_2.5,47284,11525,47,12,520,0.3497880587961148,0.01296539371183083,0.010615599008121143,-0.0023497947037096887,-0.004767476390934323,-0.0007273818836230611,0.0010338150992527534,0.9884849566537036,0.7350247400134093,0.14422934523596398,0.0025705552547224944,0.004317279371500726,0.0,0.0,0.4832712968445986,0.46728280179341847,1.0,True,False,False,False,ABSENT,False,,
model_entropy:Q1,model_entropy,Q1,33803,3073,50,12,459,0.25006103018960046,0.021013244007152477,0.008258214847794576,-0.012755029159357901,-0.019494448158089452,-0.007133158737625383,0.003177725038840369,0.9999701365233222,0.9910826774689246,0.7515713638020654,0.007901333422735456,0.013270387294984492,0.0,0.0,0.22548294530071294,0.19847350826849688,1.0,True,False,False,False,ABSENT,False,,
model_entropy:Q2,model_entropy,Q2,33792,3072,49,12,508,0.24997965660346652,0.06147020130993542,0.03268585605320786,-0.02878434525672756,-0.037141299016960345,-0.02148324451061534,0.003955815143518284,0.9999999999998287,0.9999999910732509,0.999959600816565,0.00983603490723988,0.016519742388098214,0.0,0.0,0.43980823863636365,0.3638731060606061,1.0,True,False,False,False,ABSENT,False,,
model_entropy:Q3,model_entropy,Q3,33792,3072,48,12,498,0.24997965660346652,0.07228920267371765,0.05265956867009943,-0.019629634003618234,-0.026770506497899766,-0.01313975414345615,0.0034888671668704095,0.9999999907975716,0.9999657605255998,0.9890448461507454,0.008674980502132211,0.014569737141896058,0.0,0.0,0.6396484375,0.5669685132575758,1.0,True,False,False,False,ABSENT,False,,
model_entropy:Q4,model_entropy,Q4,33792,3072,48,12,384,0.24997965660346652,0.07553044481576826,0.060095177445845166,-0.015435267369923091,-0.022265587626291473,-0.0091283873397405,0.0033289032127346648,0.9999982302864757,0.9986137146539955,0.9035928237969455,0.008277234151583606,0.013901717222402606,0.0,0.0,0.7513612689393939,0.7054332386363636,1.0,True,False,False,False,ABSENT,False,,
market_entropy:Q1,market_entropy,Q1,33803,3073,50,12,521,0.25006103018960046,0.02413624496370891,2.703687542525801e-06,-0.024133541276166383,-0.03485094928627855,-0.014897836095620922,0.005077498219986059,0.9999989980859677,0.9990587965878727,0.9219912606392082,0.012625071678352655,0.021203964170983823,0.0,0.0,0.13049137650504394,0.13031387746649706,1.0,True,False,False,False,ABSENT,False,,
market_entropy:Q2,market_entropy,Q2,33792,3072,49,12,523,0.24997965660346652,0.050262441117287025,0.03092879088245739,-0.019333650234829636,-0.025723439684485965,-0.01350517252952468,0.003151833903207866,0.9999999995717748,0.9999964261452868,0.9974421093759759,0.00783695576487481,0.013162264221669226,0.0,0.0,0.45439749053030304,0.3659446022727273,1.0,True,False,False,False,ABSENT,False,,
market_entropy:Q3,market_entropy,Q3,33792,3072,48,12,477,0.24997965660346652,0.07585855463137567,0.05641722678444602,-0.019441327846929635,-0.026871139218091436,-0.012661816824202107,0.003583515440229028,0.9999999710569618,0.9999216983350988,0.9817255245939954,0.008910321054430457,0.01496499451278828,0.0,0.0,0.6880918560606061,0.6164180871212122,1.0,True,False,False,False,ABSENT,False,,
market_entropy:Q4,market_entropy,Q4,33792,3072,47,12,378,0.24997965660346652,0.08004483549232837,0.06635278300337358,-0.01369205248895478,-0.01981989566714902,-0.008056647904250359,0.002983830356567265,0.9999977704630534,0.9983794591463516,0.8951346416492973,0.00741921916967402,0.01246067043882093,0.0,0.0,0.7833510890151515,0.7220939867424242,1.0,True,False,False,False,ABSENT,False,,
