policy,city,ahead,hour_start,band_minutes,pulled_minutes,notional,pulled_notional,eligible_moves,large_moves,pulled_large_moves,t3_known_minutes,trade_rows,pulled_trade_rows,baseline_0_minutes,baseline_0_notional,baseline_0_large_moves,baseline_15_minutes,baseline_15_notional,baseline_15_large_moves,baseline_30_minutes,baseline_30_notional,baseline_30_large_moves,baseline_45_minutes,baseline_45_notional,baseline_45_large_moves,pulled_fraction,notional_fraction,large_move_fraction,t3_known_fraction,baseline_0_large_move_fraction,baseline_15_large_move_fraction,baseline_30_large_move_fraction,baseline_45_large_move_fraction,best_clock_large_move_fraction,lift_vs_best_clock
gfs_15,atlanta,0,18,158400.0,13134.0,114291.64647318269,3317.631824999856,1234.0,124.0,0.0,154440.0,2418.0,89.0,13134.0,4952.695114999856,0.0,13134.0,2464.4717310006527,0.0,13134.0,1800.412886000048,0.0,13134.0,3620.9220710000022,0.0,0.08291666666666667,0.02902777173464119,0.0,0.975,0.0,0.0,0.0,0.0,0.0,
gfs_15,atlanta,1,0,154440.0,13101.0,66329.00559111212,3926.571057996436,1883.0,283.0,10.0,0.0,4920.0,276.0,13101.0,4788.095751008313,23.0,13101.0,3486.881957996734,13.0,13101.0,3461.732196992031,3.0,13101.0,4358.70026000714,12.0,0.08482905982905983,0.059198400805251704,0.0353356890459364,0.0,0.0812720848056537,0.045936395759717315,0.01060070671378092,0.04240282685512368,0.0812720848056537,0.4347826086956522
gfs_15,atlanta,1,6,154440.0,12760.0,71274.00546154879,7275.462245901156,1956.0,270.0,18.0,0.0,4662.0,323.0,12760.0,3702.182639991292,23.0,12760.0,8017.243584904453,19.0,12760.0,7874.094431897756,8.0,12760.0,4302.662968982573,12.0,0.08262108262108261,0.10207735904257766,0.06666666666666667,0.0,0.08518518518518518,0.07037037037037037,0.02962962962962963,0.044444444444444446,0.08518518518518518,0.782608695652174
gfs_15,atlanta,1,12,155749.0,13145.0,69670.45393708714,4955.10213501661,2020.0,355.0,27.0,0.0,4785.0,341.0,13145.0,5704.563118980782,31.0,13145.0,4931.097190992423,35.0,13145.0,4791.081473004347,32.0,13145.0,5519.603106990047,21.0,0.08439861572144926,0.07112200158034135,0.07605633802816901,0.0,0.08732394366197183,0.09859154929577464,0.09014084507042254,0.059154929577464786,0.09859154929577464,0.7714285714285715
gfs_15,atlanta,1,18,158400.0,13134.0,41376.96370399883,3421.0616390007035,1478.0,283.0,21.0,0.0,3572.0,255.0,13134.0,3924.5524840032863,32.0,13134.0,3647.289950006124,21.0,13134.0,1655.5513080030205,5.0,13134.0,2055.203830999438,13.0,0.08291666666666667,0.0826803451184621,0.07420494699646643,0.0,0.11307420494699646,0.07420494699646643,0.0176678445229682,0.045936395759717315,0.11307420494699646,0.65625
gfs_15,atlanta,2,0,38639.0,7513.0,1221.226906990323,184.1596809999116,73.0,35.0,1.0,0.0,193.0,41.0,7513.0,185.49999199700068,4.0,7513.0,245.9677799969234,2.0,7513.0,198.17683700014106,4.0,7513.0,152.67904900021833,6.0,0.19444084991847616,0.15079890554800138,0.02857142857142857,0.0,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.17142857142857143,0.16666666666666666
gfs_15,atlanta,2,6,91784.0,7865.0,5149.295179998025,898.2605020006853,204.0,78.0,10.0,0.0,530.0,51.0,7865.0,710.3159010004924,12.0,7865.0,914.2315120003393,10.0,7865.0,757.8229319990922,11.0,7865.0,501.3432219979217,8.0,0.08569031639501438,0.17444338896901807,0.1282051282051282,0.0,0.15384615384615385,0.1282051282051282,0.14102564102564102,0.10256410256410256,0.15384615384615385,0.8333333333333333
gfs_15,atlanta,2,12,98384.0,8316.0,11660.93141100346,758.4890570000177,480.0,81.0,7.0,0.0,1162.0,85.0,8316.0,459.7494110030076,3.0,8316.0,830.462229999277,7.0,8316.0,796.9453319964239,12.0,8316.0,397.2025260001545,8.0,0.08452593917710197,0.06504532359090065,0.08641975308641975,0.0,0.037037037037037035,0.08641975308641975,0.14814814814814814,0.09876543209876543,0.14814814814814814,0.5833333333333334
gfs_15,atlanta,2,18,122056.0,12276.0,19936.354762050534,1912.932239010511,686.0,123.0,2.0,0.0,1880.0,105.0,12276.0,1586.483631003287,4.0,12276.0,1549.6017790099095,2.0,12276.0,1423.8768410078903,4.0,12276.0,2125.3840970005954,6.0,0.10057678442682047,0.09595195620474394,0.016260162601626018,0.0,0.032520325203252036,0.016260162601626018,0.032520325203252036,0.04878048780487805,0.04878048780487805,0.33333333333333337
gfs_15,austin,0,0,158400.0,13200.0,102143.49908394352,10258.187426976532,4183.0,986.0,86.0,126555.0,8928.0,911.0,13200.0,7916.423871988537,57.0,13200.0,8545.460679992842,68.0,13200.0,10447.868448981602,103.0,13200.0,9670.351495971665,89.0,0.08333333333333333,0.1004291758063443,0.0872210953346856,0.7989583333333333,0.057809330628803245,0.06896551724137931,0.10446247464503043,0.09026369168356999,0.10446247464503043,0.8349514563106796
