market,hour,change_native,count,requested_date_hours,reports_per_requested_date_hour
chicago,16,ge4,1,114,0.008771929824561403
chicago,16,unknown,1,114,0.008771929824561403
chicago,17,lt1,13,114,0.11403508771929824
chicago,17,1to2,8,114,0.07017543859649122
chicago,17,2to4,1,114,0.008771929824561403
chicago,17,ge4,0,114,0.0
chicago,17,unknown,0,114,0.0
chicago,18,lt1,16,114,0.14035087719298245
chicago,18,1to2,4,114,0.03508771929824561
chicago,18,2to4,0,114,0.0
chicago,18,ge4,0,114,0.0
chicago,18,unknown,0,114,0.0
chicago,19,lt1,16,114,0.14035087719298245
chicago,19,1to2,6,114,0.05263157894736842
chicago,19,2to4,1,114,0.008771929824561403
chicago,19,ge4,2,114,0.017543859649122806
chicago,19,unknown,0,114,0.0
chicago,20,lt1,18,114,0.15789473684210525
chicago,20,1to2,7,114,0.06140350877192982
chicago,20,2to4,0,114,0.0
chicago,20,ge4,0,114,0.0
chicago,20,unknown,0,114,0.0
chicago,21,lt1,16,114,0.14035087719298245
chicago,21,1to2,6,114,0.05263157894736842
chicago,21,2to4,1,114,0.008771929824561403
chicago,21,ge4,0,114,0.0
chicago,21,unknown,0,114,0.0
chicago,22,lt1,18,114,0.15789473684210525
chicago,22,1to2,10,114,0.08771929824561403
chicago,22,2to4,4,114,0.03508771929824561
chicago,22,ge4,1,114,0.008771929824561403
chicago,22,unknown,0,114,0.0
chicago,23,lt1,20,114,0.17543859649122806
chicago,23,1to2,6,114,0.05263157894736842
chicago,23,2to4,0,114,0.0
chicago,23,ge4,0,114,0.0
chicago,23,unknown,0,114,0.0
dallas,0,lt1,2,114,0.017543859649122806
dallas,0,1to2,0,114,0.0
dallas,0,2to4,0,114,0.0
dallas,0,ge4,0,114,0.0
dallas,0,unknown,0,114,0.0
dallas,1,lt1,5,114,0.043859649122807015
dallas,1,1to2,0,114,0.0
dallas,1,2to4,0,114,0.0
dallas,1,ge4,0,114,0.0
dallas,1,unknown,0,114,0.0
dallas,2,lt1,7,114,0.06140350877192982
dallas,2,1to2,1,114,0.008771929824561403
dallas,2,2to4,0,114,0.0
dallas,2,ge4,0,114,0.0
dallas,2,unknown,0,114,0.0
dallas,3,lt1,4,114,0.03508771929824561
dallas,3,1to2,3,114,0.02631578947368421
dallas,3,2to4,0,114,0.0
dallas,3,ge4,0,114,0.0
dallas,3,unknown,0,114,0.0
dallas,4,lt1,11,114,0.09649122807017543
dallas,4,1to2,0,114,0.0
dallas,4,2to4,0,114,0.0
dallas,4,ge4,0,114,0.0
dallas,4,unknown,0,114,0.0
dallas,5,lt1,14,114,0.12280701754385964
dallas,5,1to2,4,114,0.03508771929824561
dallas,5,2to4,0,114,0.0
dallas,5,ge4,0,114,0.0
dallas,5,unknown,0,114,0.0
dallas,6,lt1,14,114,0.12280701754385964
dallas,6,1to2,5,114,0.043859649122807015
dallas,6,2to4,0,114,0.0
dallas,6,ge4,0,114,0.0
dallas,6,unknown,0,114,0.0
dallas,7,lt1,19,114,0.16666666666666666
dallas,7,1to2,8,114,0.07017543859649122
dallas,7,2to4,0,114,0.0
dallas,7,ge4,2,114,0.017543859649122806
dallas,7,unknown,0,114,0.0
dallas,8,lt1,12,114,0.10526315789473684
dallas,8,1to2,6,114,0.05263157894736842
dallas,8,2to4,2,114,0.017543859649122806
dallas,8,ge4,0,114,0.0
dallas,8,unknown,0,114,0.0
dallas,9,lt1,7,114,0.06140350877192982
dallas,9,1to2,6,114,0.05263157894736842
dallas,9,2to4,3,114,0.02631578947368421
dallas,9,ge4,0,114,0.0
dallas,9,unknown,1,114,0.008771929824561403
dallas,10,lt1,5,114,0.043859649122807015
dallas,10,1to2,2,114,0.017543859649122806
dallas,10,2to4,2,114,0.017543859649122806
dallas,10,ge4,0,114,0.0
dallas,10,unknown,0,114,0.0
dallas,11,lt1,9,114,0.07894736842105263
dallas,11,1to2,2,114,0.017543859649122806
dallas,11,2to4,2,114,0.017543859649122806
dallas,11,ge4,1,114,0.008771929824561403
dallas,11,unknown,0,114,0.0
dallas,12,lt1,2,114,0.017543859649122806
dallas,12,1to2,5,114,0.043859649122807015
dallas,12,2to4,2,114,0.017543859649122806
dallas,12,ge4,0,114,0.0
dallas,12,unknown,0,114,0.0
dallas,13,lt1,4,114,0.03508771929824561
dallas,13,1to2,3,114,0.02631578947368421
dallas,13,2to4,0,114,0.0
dallas,13,ge4,1,114,0.008771929824561403
dallas,13,unknown,0,114,0.0
dallas,14,lt1,2,114,0.017543859649122806
dallas,14,1to2,2,114,0.017543859649122806
dallas,14,2to4,1,114,0.008771929824561403
dallas,14,ge4,0,114,0.0
dallas,14,unknown,0,114,0.0
dallas,15,lt1,3,114,0.02631578947368421
dallas,15,1to2,0,114,0.0
dallas,15,2to4,1,114,0.008771929824561403
dallas,15,ge4,0,114,0.0
dallas,15,unknown,0,114,0.0
dallas,16,lt1,0,114,0.0
dallas,16,1to2,4,114,0.03508771929824561
dallas,16,2to4,1,114,0.008771929824561403
dallas,16,ge4,0,114,0.0
dallas,16,unknown,0,114,0.0
dallas,17,lt1,2,114,0.017543859649122806
dallas,17,1to2,0,114,0.0
dallas,17,2to4,0,114,0.0
dallas,17,ge4,1,114,0.008771929824561403
dallas,17,unknown,0,114,0.0
dallas,18,lt1,3,114,0.02631578947368421
dallas,18,1to2,3,114,0.02631578947368421
dallas,18,2to4,0,114,0.0
dallas,18,ge4,2,114,0.017543859649122806
dallas,18,unknown,0,114,0.0
dallas,19,lt1,3,114,0.02631578947368421
dallas,19,1to2,2,114,0.017543859649122806
dallas,19,2to4,3,114,0.02631578947368421
dallas,19,ge4,0,114,0.0
dallas,19,unknown,0,114,0.0
dallas,20,lt1,1,114,0.008771929824561403
dallas,20,1to2,1,114,0.008771929824561403
dallas,20,2to4,0,114,0.0
dallas,20,ge4,1,114,0.008771929824561403
dallas,20,unknown,0,114,0.0
dallas,21,lt1,2,114,0.017543859649122806
dallas,21,1to2,0,114,0.0
dallas,21,2to4,0,114,0.0
dallas,21,ge4,0,114,0.0
dallas,21,unknown,0,114,0.0
dallas,22,lt1,1,114,0.008771929824561403
dallas,22,1to2,1,114,0.008771929824561403
dallas,22,2to4,0,114,0.0
dallas,22,ge4,0,114,0.0
dallas,22,unknown,0,114,0.0
dallas,23,lt1,3,114,0.02631578947368421
dallas,23,1to2,0,114,0.0
dallas,23,2to4,0,114,0.0
dallas,23,ge4,0,114,0.0
dallas,23,unknown,0,114,0.0
denver,0,lt1,3,114,0.02631578947368421
denver,0,1to2,0,114,0.0
denver,0,2to4,0,114,0.0
denver,0,ge4,0,114,0.0
denver,0,unknown,0,114,0.0
denver,1,lt1,0,114,0.0
denver,1,1to2,0,114,0.0
denver,1,2to4,0,114,0.0
denver,1,ge4,0,114,0.0
denver,1,unknown,0,114,0.0
denver,2,lt1,1,114,0.008771929824561403
denver,2,1to2,1,114,0.008771929824561403
denver,2,2to4,1,114,0.008771929824561403
denver,2,ge4,0,114,0.0
denver,2,unknown,0,114,0.0
denver,3,lt1,0,114,0.0
denver,3,1to2,2,114,0.017543859649122806
denver,3,2to4,0,114,0.0
denver,3,ge4,0,114,0.0
denver,3,unknown,0,114,0.0
denver,4,lt1,1,114,0.008771929824561403
denver,4,1to2,0,114,0.0
denver,4,2to4,0,114,0.0
denver,4,ge4,0,114,0.0
denver,4,unknown,0,114,0.0
denver,5,lt1,4,114,0.03508771929824561
denver,5,1to2,3,114,0.02631578947368421
denver,5,2to4,0,114,0.0
denver,5,ge4,0,114,0.0
denver,5,unknown,0,114,0.0
denver,6,lt1,2,114,0.017543859649122806
denver,6,1to2,0,114,0.0
denver,6,2to4,0,114,0.0
denver,6,ge4,0,114,0.0
denver,6,unknown,0,114,0.0
denver,7,lt1,2,114,0.017543859649122806
denver,7,1to2,4,114,0.03508771929824561
denver,7,2to4,1,114,0.008771929824561403
denver,7,ge4,0,114,0.0
denver,7,unknown,0,114,0.0
denver,8,lt1,2,114,0.017543859649122806
denver,8,1to2,2,114,0.017543859649122806
denver,8,2to4,0,114,0.0
denver,8,ge4,0,114,0.0
denver,8,unknown,0,114,0.0
denver,9,lt1,1,114,0.008771929824561403
denver,9,1to2,0,114,0.0
denver,9,2to4,1,114,0.008771929824561403
denver,9,ge4,0,114,0.0
denver,9,unknown,0,114,0.0
denver,10,lt1,0,114,0.0
denver,10,1to2,0,114,0.0
denver,10,2to4,0,114,0.0
denver,10,ge4,0,114,0.0
denver,10,unknown,0,114,0.0
denver,11,lt1,1,114,0.008771929824561403
denver,11,1to2,0,114,0.0
denver,11,2to4,0,114,0.0
denver,11,ge4,0,114,0.0
denver,11,unknown,0,114,0.0
denver,12,lt1,1,114,0.008771929824561403
denver,12,1to2,2,114,0.017543859649122806
denver,12,2to4,0,114,0.0
denver,12,ge4,0,114,0.0
denver,12,unknown,0,114,0.0
denver,13,lt1,2,114,0.017543859649122806
denver,13,1to2,2,114,0.017543859649122806
denver,13,2to4,0,114,0.0
denver,13,ge4,3,114,0.02631578947368421
denver,13,unknown,0,114,0.0
denver,14,lt1,5,114,0.043859649122807015
denver,14,1to2,5,114,0.043859649122807015
