market,definition,bin,grid_rows,p_mean,observed,cell_gap,gap_low,gap_high,date_clusters,market_clusters
austin,hourly,9,588,0.987012987012987,0.9931972789115646,0.0061842918985776174,-0.00742115027829313,0.012987012987012991,21,1
chicago,all,0,968,0.028030303030303027,0.09090909090909091,0.06287878787878788,-0.028030303030303027,0.19511019283746556,22,1
chicago,all,1,88,0.15555555555555553,0.22727272727272727,0.07171717171717172,-0.06464646464646466,0.2535353535353535,22,1
chicago,all,2,88,0.23888888888888893,0.36363636363636365,0.12474747474747473,-0.05707070707070709,0.35202020202020196,22,1
chicago,all,4,88,0.42222222222222217,0.5,0.07777777777777775,-0.1494949494949495,0.30505050505050496,22,1
chicago,all,5,88,0.5666666666666665,0.6818181818181818,0.11515151515151519,-0.06666666666666665,0.29696969696969705,22,1
chicago,all,7,88,0.7888888888888889,0.9090909090909091,0.12020202020202025,-0.016161616161616134,0.21111111111111122,22,1
chicago,all,9,616,0.978968253968254,0.9675324675324676,-0.011435786435786448,-0.07637085137085137,0.02103174603174601,22,1
chicago,hourly,0,968,0.027272727272727264,0.049586776859504134,0.022314049586776838,-0.02727272727272727,0.1173553719008264,22,1
chicago,hourly,1,88,0.15555555555555553,0.18181818181818182,0.026262626262626262,-0.11010101010101009,0.20808080808080806,22,1
chicago,hourly,2,88,0.23333333333333336,0.3181818181818182,0.08484848484848481,-0.09696969696969698,0.26666666666666666,22,1
chicago,hourly,4,88,0.4111111111111111,0.45454545454545453,0.04343434343434346,-0.18383838383838375,0.2252525252525253,22,1
chicago,hourly,5,88,0.5555555555555555,0.6363636363636364,0.08080808080808079,-0.10101010101010105,0.26262626262626265,22,1
chicago,hourly,7,88,0.7888888888888889,0.9090909090909091,0.12020202020202025,-0.016161616161616134,0.21111111111111122,22,1
chicago,hourly,9,616,0.9793650793650793,0.9675324675324676,-0.011832611832611849,-0.07676767676767678,0.020634920634920614,22,1
dallas,all,0,1176,0.016051364365971106,0.0,-0.016051364365971106,-0.016051364365971106,-0.016051364365971103,21,1
dallas,all,2,84,0.23595505617977527,0.38095238095238093,0.14499732477260568,-0.04547886570358481,0.3354735152487962,21,1
dallas,all,5,84,0.539325842696629,0.8095238095238095,0.27019796682718045,0.07972177635098984,0.4130551096843233,21,1
dallas,all,8,84,0.8539325842696628,0.9523809523809523,0.09844836811128951,0.0032102728731942345,0.14606741573033716,21,1
dallas,all,9,504,1.0,1.0,0.0,0.0,0.0,21,1
dallas,hourly,0,1176,0.016233766233766232,0.0,-0.01623376623376623,-0.01623376623376624,-0.01623376623376623,21,1
dallas,hourly,2,84,0.2386363636363637,0.38095238095238093,0.14231601731601728,-0.048160173160173195,0.3327922077922079,21,1
dallas,hourly,5,84,0.534090909090909,0.8095238095238095,0.2754329004329004,0.08495670995670998,0.41829004329004343,21,1
dallas,hourly,8,84,0.8522727272727276,0.9523809523809523,0.10010822510822508,0.0048701298701298605,0.14772727272727273,21,1
dallas,hourly,9,504,1.0,1.0,0.0,0.0,0.0,21,1
denver,all,0,1008,0.0010288065843621398,0.003968253968253968,0.0029394473838918293,-0.00102880658436214,0.010875955320399767,21,1
denver,all,1,84,0.18518518518518515,0.047619047619047616,-0.13756613756613753,-0.18518518518518517,-0.042328042328042305,21,1
denver,all,3,84,0.3333333333333333,0.09523809523809523,-0.23809523809523805,-0.3333333333333333,-0.0952380952380952,21,1
denver,all,5,84,0.5308641975308643,0.5238095238095238,-0.00705467372134043,-0.1975308641975309,0.18342151675485008,21,1
denver,all,7,84,0.7623456790123455,0.9047619047619048,0.1424162257495591,-0.0004409171075837419,0.23765432098765432,21,1
denver,all,9,588,0.9964726631393297,1.0,0.003527336860670194,0.003527336860670194,0.003527336860670194,21,1
denver,hourly,0,1008,0.0010416666666666667,0.003968253968253968,0.002926587301587302,-0.0010416666666666667,0.010863095238095241,21,1
denver,hourly,1,84,0.17500000000000004,0.047619047619047616,-0.12738095238095234,-0.175,-0.03214285714285715,21,1
denver,hourly,3,84,0.3374999999999999,0.09523809523809523,-0.24226190476190482,-0.3375000000000001,-0.09940476190476193,21,1
denver,hourly,5,84,0.5375,0.5238095238095238,-0.013690476190476183,-0.20416666666666666,0.17678571428571432,21,1
denver,hourly,7,84,0.7625000000000002,0.9047619047619048,0.14226190476190476,-0.0005952380952380508,0.23750000000000004,21,1
denver,hourly,9,588,0.9964285714285714,1.0,0.003571428571428575,0.003571428571428574,0.0035714285714285752,21,1
fleet,all,0,12340,0.019439482540400153,0.02106969205834684,0.0022428264091719622,-0.01824801337661731,0.03887001361382333,22,12
fleet,all,1,890,0.14969957253298727,0.13820224719101123,-0.020127816631523295,-0.09467148494458791,0.0693132260202953,22,10
fleet,all,2,666,0.23132355352526293,0.2912912912912913,0.05465518865419217,-0.04644346722981102,0.17100673896993987,22,9
fleet,all,3,172,0.3518705763397371,0.13953488372093023,-0.21233569261880686,-0.3333333333333333,-0.05138339920948616,22,2
fleet,all,4,674,0.4518943325109371,0.4732937685459941,0.020574017505638878,-0.09909219919405689,0.1425932804123536,22,8
fleet,all,5,450,0.5540763271499849,0.6888888888888889,0.11175514105136962,-0.042434939674523005,0.25456331059413356,22,6
fleet,all,6,304,0.6605971608748868,0.6842105263157895,0.04761427425821974,-0.1501627275025278,0.21516798418972335,22,4
fleet,all,7,388,0.7503768447963876,0.8556701030927835,0.11520099003995947,0.006372419850680761,0.20907236369746435,22,5
fleet,all,8,648,0.864855482582397,0.9074074074074074,0.040977248529275825,-0.018838545010384934,0.09685708819533614,22,8
fleet,all,9,7384,0.9929953622193257,0.9894366197183099,-0.0032803456027194478,-0.017827499472123438,0.006001819831925297,22,12
fleet,hourly,0,12252,0.01939311064800409,0.019588638589618023,0.0009325216689673474,-0.01913487140572776,0.032380313422812286,22,12
fleet,hourly,1,956,0.14176910652260846,0.13389121338912133,-0.013681642276960004,-0.09027984242445856,0.07690906841475748,22,9
fleet,hourly,2,688,0.2302511756727608,0.27325581395348836,0.04300463828072758,-0.07507917437148794,0.16932862999723292,22,8
fleet,hourly,3,260,0.36712055038978114,0.24615384615384617,-0.12096670423593503,-0.2875076196951197,0.08589558589558591,22,3
fleet,hourly,4,608,0.4554246785328154,0.4868421052631579,0.03141742673034251,-0.10134332426348523,0.17133380334965592,22,7
fleet,hourly,5,428,0.5525618332861323,0.6915887850467289,0.1390269517605966,-0.01534690656565656,0.28627667732369555,22,5
fleet,hourly,6,348,0.6665489131233004,0.735632183908046,0.06908327078474565,-0.12609190291508293,0.229554989946887,22,4
fleet,hourly,7,344,0.7544089147286821,0.8488372093023255,0.09442829457364342,-0.028789765470799953,0.18763323643410856,22,4
fleet,hourly,8,604,0.8593866447372567,0.9139072847682119,0.0545206400309555,-0.012092607616675941,0.1122827170925828,22,7
fleet,hourly,9,7428,0.9924196209734139,0.9919224555735057,-0.00037931372509693355,-0.01184304650619381,0.007117883164333414,22,12
houston,all,0,968,0.02676767676767676,0.004132231404958678,-0.022635445362718096,-0.026767676767676774,-0.014370982552800742,22,1
houston,all,1,176,0.15,0.20454545454545456,0.05454545454545454,-0.10454545454545451,0.2363636363636363,22,1
