snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,source,forecast_kind,issue_time,issue_time_basis,valid_time,horizon_minutes,target_temp_c,forecast_high_c,cloud_cover,wind_speed_kmh,condition,source_url,payload_hash,is_changed
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T08:00:00-07:00,72,60,,30,4,Partly Cloudy,https://api.weather.com/v3/wx/forecast/hourly/15day,b7ab75fc2dbe8701f673fcb58bb58aabdc2e3791bf28e84be78a6fb8e9a20c9d,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T09:00:00-07:00,132,64,,46,5,Partly Cloudy,https://api.weather.com/v3/wx/forecast/hourly/15day,bab376fa9c326642865a4840fe2cd08f6e5500f7d491d8eee0e4367e87f2ac86,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T10:00:00-07:00,192,67,,20,5,Mostly Sunny,https://api.weather.com/v3/wx/forecast/hourly/15day,1ce92868a58bbad9fd93b055736fcd36ed43d2e215d45c0313667de33b605951,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T11:00:00-07:00,252,69,,24,9,Mostly Sunny,https://api.weather.com/v3/wx/forecast/hourly/15day,39d0e5c27c41c059969fa25f69fe7f566ad58b582879fa8e7989a805a108133a,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T12:00:00-07:00,312,71,,14,13,Sunny,https://api.weather.com/v3/wx/forecast/hourly/15day,c98f316904f9a8c49563bff40503b816eb0fcc7fb2c6aaaadec4db2aa17efe69,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T13:00:00-07:00,372,73,,8,16,Sunny,https://api.weather.com/v3/wx/forecast/hourly/15day,d9271d1a8f99f254ee31d1de443e092999c2e3771382c4aaa9ad1268862c3aa1,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T14:00:00-07:00,432,73,,7,18,Sunny,https://api.weather.com/v3/wx/forecast/hourly/15day,e4005b85237cc08ebfe8341cafb643b76e57a0c427e30b43f1db3b9356a63489,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T15:00:00-07:00,492,72,,2,20,Sunny/Wind,https://api.weather.com/v3/wx/forecast/hourly/15day,57695a6e03fe87f21c47270f20a4cd3de9c50d1c777d7e4fda3808a916518ac1,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T16:00:00-07:00,552,71,,1,20,Sunny/Wind,https://api.weather.com/v3/wx/forecast/hourly/15day,4bafd13d079945f5c1f5b99fc3b141f30793d191454464ddb751a232e4f87925,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T17:00:00-07:00,612,70,,1,20,Sunny/Wind,https://api.weather.com/v3/wx/forecast/hourly/15day,bacf25004fdf15392864a8dcfcb997349103281a628ad0d478e2f148f04fd35f,true
